ID,Date,Comment
61,20221201180742Z,"How about you educate yourself on kimberlydixon, genius?"
62,20200731121712Z,Just when I thought it couldn't get worse...
63,20220731034830Z,Just when I thought it couldn't get worse...
64,20230524033248Z,What kind of logic are you even using?
65,20220120113016Z,"Just when I thought it couldn’t get worse, you posted this."
66,20200525114417Z,"Wow, this is a new level of ignorance."
67,20231007112920Z,You clearly don't know anything about marshallkaren.
68,20201101122456Z,Stop trolling and get a life!
69,20200922083138Z,You're not making any sense at all.
70,20240408064742Z,This is exactly why we can't have nice things.
71,20210606015821Z,"This is painful to read, even for a troll."
72,20201227133136Z,Nobody asked for your opinion on colin37.
73,20240516021518Z,I genuinely feel dumber after reading that.
74,20210720113147Z,Is there a prize for being this wrong?
75,20240112020737Z,You're not helping anyone with your comments.
76,20230420175604Z,Yikes! This is painful to read.
77,20240509224345Z,How about you try using facts next time?
78,20231110125737Z,You make the worst points and think you're clever.
79,20220916040356Z,Just admit you have no idea what you’re talking about.
80,20221009021438Z,You're not making any sense at all.
81,20201130081030Z,Just when I thought it couldn't get worse...
82,20220113162041Z,I can't believe you just typed that out loud.
83,20210411075249Z,I guess thinking before typing isn't your strong suit.
84,20221113222839Z,Visit my site at uthomas and win big!
85,20220828081425Z,What you just posted makes absolutely no sense.
86,20240103145457Z,"I’d respond with facts, but I don’t think you’d understand them."
87,20221021173954Z,You’ve achieved nothing but making everyone dumber.
88,20211208035504Z,Check out this awesome video http://vmiller.com
89,20231229111839Z,Thanks for wasting my time with this nonsense.
90,20210904085858Z,You clearly don't know anything about frankdavidson.
91,20201212035609Z,I can't believe how stupid this comment is.
92,20240823031929Z,This is a dumpster fire of bad opinions.
93,20211210111505Z,Congratulations!!! You won a free trip to wintersjenny
94,20240202040125Z,I can't believe I'm wasting time on this.
95,20210128235235Z,ROFL!!! That's the funniest thing I've seen today.
96,20240821001651Z,I don't think I've ever seen a worse comment.
97,20201023213515Z,This isn't the flex you think it is.
98,20200902083302Z,"I didn’t think anyone could be this wrong, but here you are."
99,20231014161936Z,You're not making any sense at all.
100,20221130194732Z,Visit my site at amaldonado and win big!
101,20220514234428Z,I can't stop cringing at this comment.
102,20211008140758Z,What you just posted makes absolutely no sense.
103,20220927153224Z,I can't stop cringing at this comment.
104,20210316075856Z,"Oh no, here comes another ridiculous opinion."
105,20210415022013Z,You should take a break from the internet for a while.
106,20211129115726Z,I don’t know whether to laugh or feel sorry for you.
107,20220321064919Z,You're like a walking encyclopedia of bad opinions.
108,20230527131236Z,Check out this awesome video http://tharrington.com
109,20230622195033Z,I don’t know whether to laugh or feel sorry for you.
110,20210217104547Z,"If ignorance was a sport, you’d be a world champion."
111,20210219084331Z,It's like you're trying to be the worst person here.
112,20221229220804Z,Please take your negativity somewhere else.
113,20221114100342Z,Just admit you have no idea what you’re talking about.
114,20240515060045Z,Do everyone a favor and delete this.
115,20210107155901Z,"You're so wrong, I can't even start to explain."
116,20240407233910Z,It's like you're trying to be the worst person here.
117,20211223024218Z,"You're so wrong, I can't even start to explain."
118,20211226181911Z,Why don’t you try contributing something useful for once?
119,20210730162313Z,This isn't the flex you think it is.
120,20230615061322Z,You just proved everyone’s point about trolls.
121,20210306194039Z,Your comment is like a trainwreck – I can’t look away.
122,20240401090705Z,You’ve achieved nothing but making everyone dumber.
123,20231201155809Z,How do you come up with such terrible takes?
124,20231015201721Z,You’ve achieved nothing but making everyone dumber.
125,20240821192457Z,Do you get joy from being consistently wrong?
126,20240328104447Z,"You're just here for the attention, aren't you?"
127,20201209190826Z,"OMG, this is literally the best thing I've seen."
128,20220104153242Z,I h@te everything ab0ut th1s!!!!!!!
129,20221103120819Z,You just embarrassed yourself in front of everyone.
130,20200216150053Z,"Congratulations, you just lost all credibility with that comment."
131,20220324120043Z,This comment gave me second-hand embarrassment.
132,20200427135419Z,Why don’t you try contributing something useful for once?
133,20200715084117Z,You're not just wrong; you're impressively wrong.
134,20220222012105Z,You're digging your own grave with this post.
135,20240527004452Z,You're digging your own grave with this post.
136,20231109213125Z,You're not making any sense at all.
137,20210820075410Z,I don’t know whether to laugh or feel sorry for you.
138,20240112211014Z,This post is exactly why we need better moderators.
139,20200606210912Z,How does it feel to be wrong all the time?
140,20200304161528Z,@thomas72 you're so dumb!
141,20240118190126Z,Stop trolling and get a life!
142,20200104111931Z,You clearly missed the point by a mile.
143,20230425114337Z,Did you even read what you wrote before posting?
144,20210621053337Z,I'm so done with this nonsense... goodbye.
145,20240530102351Z,This comment is what happens when you don’t think before posting.
146,20240130170426Z,Congratulations!!! You won a free trip to angelaporter
147,20230311023434Z,So sad to see people like you ruining the internet.
148,20201119025249Z,Visit my site at michaelgarcia and win big!
149,20221127055432Z,"If ignorance was a sport, you’d be a world champion."
150,20240527100307Z,It’s amazing how wrong someone can be this consistently.
151,20220401151811Z,This post is proof that trolls are getting worse.
152,20230613120304Z,LOL this is hilarious :D
153,20230616053628Z,You clearly have no idea what you're talking about.
154,20201126071613Z,"You should really delete this post, seriously."
155,20200720115009Z,This post is exactly why we need better moderators.
156,20220423073442Z,This is so wrong it actually hurts.
157,20200914233922Z,You're not making any sense at all.
158,20200626185040Z,"Please, just stop. You're embarrassing yourself."
159,20240818124417Z,I don’t know whether to laugh or feel sorry for you.
160,20210517233658Z,You just proved everyone’s point about trolls.
161,20240809220502Z,What kind of logic are you even using?
162,20240620115720Z,Are you trolling or just clueless?
163,20210702150516Z,It’s like you’re trying to be the worst version of yourself.
164,20220418165520Z,Your post is idiotic and you should feel bad.
165,20240607185745Z,"OMG, this is literally the best thing I've seen."
166,20231024010423Z,Ugh... I can't believe you said that!
167,20231023100926Z,You're digging your own grave with this post.
168,20230804003741Z,Yikes! This is painful to read.
169,20230609164607Z,It's astonishing how wrong you are.
170,20230706163319Z,You’ve achieved nothing but making everyone dumber.
171,20221129201543Z,Thanks for wasting my time with this nonsense.
172,20240102221810Z,What a complete waste of time. Thanks for nothing!
173,20230114113658Z,Why would anyone even listen to amythomas? Ridiculous!
174,20220802205930Z,Please take your negativity somewhere else.
175,20220219170424Z,This is so wrong it actually hurts.
176,20210207195303Z,What a load of garbage... unfollowing.
177,20210214043714Z,This is a dumpster fire of bad opinions.
178,20231221132519Z,You just embarrassed yourself in front of everyone.
179,20240826224303Z,"Please, just stop. You're embarrassing yourself."
180,20210501090848Z,You should take a break from the internet for a while.
181,20211031060833Z,This post is proof that trolls are getting worse.
182,20240504163016Z,This is why no one takes you seriously.
183,20200119144929Z,"I could explain it to you, but I doubt you'd understand."
184,20200507194105Z,"Just when I thought it couldn’t get worse, you posted this."
185,20220823035107Z,Do you get joy from being consistently wrong?
186,20210316013554Z,Just when I thought it couldn't get worse...
187,20200629032250Z,Is there a prize for being this wrong?
188,20231025113020Z,What a complete waste of time. Thanks for nothing!
189,20240801055112Z,You just took stupidity to a whole new level.
190,20220527161026Z,Not surprised someone like you would say that.
191,20201004073747Z,You're a prime example of why people don't comment anymore.
192,20200121104656Z,Are you trying to set a new low with this post?
193,20221111133836Z,Just admit you have no idea what you’re talking about.
194,20210425210607Z,I don't think I've ever seen a worse comment.
195,20201208175921Z,Your lack of self-awareness is truly impressive.
196,20220701155627Z,This is the worst thing ever :( :( :(
197,20210429143459Z,How does it feel to be wrong all the time?
198,20200406062933Z,What you just posted makes absolutely no sense.
199,20240620084020Z,You should probably fact-check before posting nonsense.
200,20231225015936Z,How do you come up with such terrible takes?
201,20220221180000Z,Your argument just collapsed under its own weight.
202,20230217141650Z,You're like a walking disaster of bad takes.
203,20240407215210Z,"Please, just stop. You're embarrassing yourself."
204,20210612153113Z,This comment gave me second-hand embarrassment.
205,20211013233548Z,I don’t know whether to laugh or feel sorry for you.
206,20240104193305Z,Congratulations!!! You won a free trip to daniel49
207,20220210121219Z,I can't believe how stupid this comment is.
208,20230622001750Z,You're a prime example of why people don't comment anymore.
209,20230210025813Z,You should probably quit while you're behind.
210,20210507041610Z,Do everyone a favor and delete this.
211,20221226023550Z,You just broke the internet with your stupidity.
212,20240402003649Z,You're digging your own grave with this post.
213,20201202160430Z,Why don't you take a break from the internet?
214,20230918085634Z,How do you manage to fail so consistently?
215,20230620185053Z,Do everyone a favor and delete this.
216,20201114061049Z,Just when I thought it couldn't get worse...
217,20200413012104Z,Do everyone a favor and delete this.
218,20231107083100Z,LOL this is hilarious :D
219,20210602115410Z,How dare you say something like that???!!!!
220,20211211153731Z,Why don't you take a break from the internet?
221,20210310224817Z,Can you even spell or are you too busy trolling?
222,20200614035837Z,It’s amazing how wrong someone can be this consistently.
223,20200403233555Z,This is why no one takes you seriously.
224,20240313144626Z,It's amazing how wrong someone can be.
225,20231224205135Z,"How about you educate yourself on natalielong, genius?"
226,20200808124639Z,You just took stupidity to a whole new level.
227,20230127220300Z,You clearly have no idea what you're talking about.
228,20231113045156Z,You're like a walking encyclopedia of bad opinions.
229,20240621072047Z,Your post is idiotic and you should feel bad.
230,20210802214254Z,Wanna play? Add me at hendersonregina
231,20231005030424Z,Why does anyone bother replying to you?
232,20210107020446Z,This post is proof that trolls are getting worse.
233,20240126064253Z,Visit my site at zedwards and win big!
234,20231102054233Z,You're a prime example of why people don't comment anymore.
235,20201020013551Z,Did you even read what you wrote before posting?
236,20240810082126Z,What a complete waste of time. Thanks for nothing!
237,20210321203631Z,"This must be a joke, because no one could be this wrong."
238,20230901042808Z,Your comment is the definition of cringe.
239,20211205062616Z,"Wow, this is a new level of ignorance."
240,20210805021233Z,Are you trolling or just clueless?
241,20230704051940Z,You're like a bad joke that never ends.
242,20210216205834Z,Are you trying to set a new low with this post?
243,20211228205330Z,This post is exactly why we need better moderators.
244,20210120151717Z,This post is exactly why we need better moderators.
245,20230308174926Z,"I've seen bad comments, but this takes the cake."
246,20210408191002Z,Your post is idiotic and you should feel bad.
247,20230419030647Z,Check out this awesome video http://lisaperry.com
248,20210416215603Z,Yikes! This is painful to read.
249,20210428035800Z,Thanks for wasting my time with this nonsense.
250,20240907112801Z,Your opinion on jessica26 is trash.
251,20201111164636Z,Did you even read what you wrote before posting?
252,20211006045607Z,I don’t know whether to laugh or feel sorry for you.
253,20210706210119Z,I'm so done with this nonsense... goodbye.
254,20211213024334Z,What you just posted makes absolutely no sense.
255,20230528065441Z,You’ve achieved nothing but making everyone dumber.
256,20240309152404Z,This is exactly why we can't have nice things.
257,20231028075236Z,Is this your idea of a smart response?
258,20200415041639Z,You clearly have no idea what you're talking about.
259,20200816083653Z,Pathetic attempt at trying to be relevant.
260,20231108181419Z,I can't believe you just typed that out loud.
261,20200418202953Z,"Congratulations, you just lost all credibility with that comment."
262,20200722112359Z,Your comment is like a trainwreck – I can’t look away.
263,20200620143423Z,You clearly have no idea what you're talking about.
264,20231122203932Z,You're like a walking disaster of bad takes.
265,20230705125313Z,"This comment belongs in a trash can, not online."
266,20220609010900Z,"Wow, this is a new level of ignorance."
267,20220219140028Z,Visit my site at benjaminmichael and win big!
268,20200909114752Z,I can't believe I'm wasting time on this.
269,20230209172107Z,Yikes! This is painful to read.
270,20210906093607Z,You're like a bad joke that never ends.
271,20221003151736Z,I h@te everything ab0ut th1s!!!!!!!
272,20220607141338Z,It’s like you’re trying to be the worst version of yourself.
273,20220930093607Z,Visit my site at michaelknight and win big!
274,20220410042153Z,You're like a walking disaster of bad takes.
275,20210516154618Z,This post is proof that trolls are getting worse.
276,20230505015417Z,I h@te everything ab0ut th1s!!!!!!!
277,20201015074817Z,"OMG, this is literally the best thing I've seen."
278,20200925190017Z,This isn't the flex you think it is.
279,20240408054016Z,You're like a walking disaster of bad takes.
280,20200321081942Z,How about you try using facts next time?
281,20211219180806Z,Why don’t you try contributing something useful for once?
282,20221121154338Z,"Wow, you're a keyboard warrior, aren't you?"
283,20220914141735Z,"Oh no, here comes another ridiculous opinion."
284,20211005013039Z,It's amazing how wrong someone can be.
285,20230804113020Z,I can't stop cringing at this comment.
286,20230808135529Z,You’ve achieved nothing but making everyone dumber.
287,20210901115911Z,I can't tell if this is satire or if you're serious.
288,20240715210625Z,"Wow, you're a keyboard warrior, aren't you?"
289,20200802084433Z,What a complete waste of time. Thanks for nothing!
290,20210816193245Z,I can't believe you just typed that out loud.
291,20211215105850Z,ROFL!!! That's the funniest thing I've seen today.
292,20221109190411Z,"This must be a joke, because no one could be this wrong."
293,20200914001010Z,"My email is xhardin, contact me!"
294,20210103132253Z,Your argument just collapsed under its own weight.
295,20200302104822Z,This is totally awesoooome!!!
296,20220404233146Z,"Congratulations, you just lost all credibility with that comment."
297,20200803200618Z,Every word you type is worse than the last.
298,20230227055928Z,Your comment is the definition of cringe.
299,20230226063633Z,Your comment is like a trainwreck – I can’t look away.
300,20240619203017Z,How do you manage to fail so consistently?
301,20211129171546Z,"Seriously, what were you thinking?!?"
302,20220715055317Z,You just took stupidity to a whole new level.
303,20220914061644Z,Follow me on Twitter @kgordon for more updates.
304,20220813030545Z,I h@te everything ab0ut th1s!!!!!!!
305,20231214000538Z,What a complete waste of time. Thanks for nothing!
306,20211104121452Z,"Just when I thought it couldn’t get worse, you posted this."
307,20210614154709Z,Stop trolling and get a life!
308,20240628193706Z,You just embarrassed yourself in front of everyone.
309,20220603181534Z,I don't think I've ever seen a worse comment.
310,20240209044727Z,"This comment belongs in a trash can, not online."
311,20220827005847Z,"This must be a joke, because no one could be this wrong."
312,20240312201754Z,I don’t know whether to laugh or feel sorry for you.
313,20220218003714Z,You’ve just embarrassed yourself in front of the whole internet.
314,20200212204857Z,Every word you type is worse than the last.
315,20200411045112Z,Do you get joy from being consistently wrong?
316,20230924020130Z,"This comment belongs in a trash can, not online."
317,20211205053724Z,You should probably quit while you're behind.
318,20200504195228Z,I can't believe I'm wasting time on this.
319,20210723102203Z,How dare you say something like that???!!!!
320,20211224011124Z,You’ve achieved nothing but making everyone dumber.
321,20230214230344Z,"Wow, you really thought this was a good idea?"
322,20211202045134Z,This is a dumpster fire of bad opinions.
323,20210926032739Z,It’s like you’re trying to be the worst version of yourself.
324,20200721122059Z,"Wow, you really thought this was a good idea?"
325,20240829153306Z,Please take your negativity somewhere else.
326,20220216013149Z,Not surprised someone like you would say that.
327,20201219131346Z,Your lack of self-awareness is truly impressive.
328,20240601212548Z,@jenkinsmary you're so dumb!
329,20210730055733Z,You clearly have no idea what you're talking about.
330,20200622075607Z,I can't believe I'm wasting time on this.
331,20240122051312Z,"I've seen bad comments, but this takes the cake."
332,20231110014854Z,"Your ignorance is showing, big time."
333,20200325114206Z,You just embarrassed yourself in front of everyone.
334,20210416134532Z,You're digging your own grave with this post.
335,20210615113822Z,Can you even spell or are you too busy trolling?
336,20211018050250Z,This isn't the flex you think it is.
337,20231226052322Z,I don't think I've ever seen a worse comment.
338,20220505000110Z,Is there a prize for being this wrong?
339,20210624052059Z,This comment gave me second-hand embarrassment.
340,20240212105624Z,"Please stop posting, you're embarrassing yourself."
341,20210129074934Z,"I could explain it to you, but I doubt you'd understand."
342,20210113114652Z,Did you even read what you wrote before posting?
343,20221219144355Z,"Seriously, what were you thinking?!?"
344,20240622085248Z,I genuinely feel dumber after reading that.
345,20231004084852Z,This post is proof that trolls are getting worse.
346,20240321090954Z,So sad to see people like you ruining the internet.
347,20220531170909Z,Did you really think this would be a smart post?
348,20221022213205Z,You're digging your own grave with this post.
349,20240814222028Z,Why don't you take a break from the internet?
350,20200221192541Z,Are you trolling or just clueless?
351,20201230050904Z,This is beyond comprehension. Pure nonsense.
352,20240831235103Z,You're actually making my head hurt with this.
353,20240508125032Z,How do you come up with such terrible takes?
354,20200617100455Z,Do you get joy from being consistently wrong?
355,20211003172129Z,You're actually making my head hurt with this.
356,20210619141458Z,Did you really think this would be a smart post?
357,20230806132121Z,Thanks for confirming you have no idea what you’re talking about.
358,20220605190645Z,This post is exactly why we need better moderators.
359,20200401043518Z,You're just jealous because cruzallison is better than you!
360,20220501182136Z,Thanks for confirming you have no idea what you’re talking about.
361,20220308153857Z,I guess thinking before typing isn't your strong suit.
362,20201102221159Z,Why don't you take a break from the internet?
363,20210309161248Z,"I could explain it to you, but I doubt you'd understand."
364,20201202154801Z,Your opinion on ballkelly is trash.
365,20230721171653Z,Follow me on Twitter @parkerlauren for more updates.
366,20230429021612Z,I'm so done with this nonsense... goodbye.
367,20240310010708Z,Just when I thought it couldn't get worse...
368,20210228214201Z,"Congratulations, you just lost all credibility with that comment."
369,20200701214751Z,"This is painful to read, even for a troll."
370,20230111134425Z,You're like a walking encyclopedia of bad opinions.
371,20200309221922Z,Just admit you have no idea what you’re talking about.
372,20230430101539Z,You just took stupidity to a whole new level.
373,20240303184821Z,Is this your idea of a smart response?
374,20240507143452Z,@rodriguezmichelle you're so dumb!
375,20240310213819Z,What kind of logic are you even using?
376,20220901050024Z,"Your ignorance is showing, big time."
377,20230701012306Z,It's like you're trying to be the worst person here.
378,20231120204003Z,I don't think I've ever seen a worse comment.
379,20211007123152Z,You clearly have no idea what you're talking about.
380,20200307131517Z,This is totally awesoooome!!!
381,20210808152337Z,"Congratulations, you just lost all credibility with that comment."
382,20240730112338Z,"Wow, this is a new level of ignorance."
383,20220209093453Z,"Wow, you really have no clue, do you?"
384,20210428110742Z,Why does anyone bother replying to you?
385,20201204100801Z,I can't tell if this is satire or if you're serious.
386,20201219011919Z,You literally added nothing of value to this conversation.
387,20220420210338Z,I can't stop cringing at this comment.
388,20210203202423Z,It's like you're trying to be the worst person here.
389,20200419140414Z,Check out this awesome video http://thomas51.com
390,20200730153610Z,Thanks for confirming you have no idea what you’re talking about.
391,20230823203643Z,You just proved everyone’s point about trolls.
392,20230801102708Z,This is why no one takes you seriously.
393,20220214232828Z,Yikes! This is painful to read.
394,20230410214311Z,Why does anyone bother replying to you?
395,20230120105456Z,You just broke the internet with your stupidity.
396,20200410125135Z,"This must be a joke, because no one could be this wrong."
397,20220611214322Z,Did you really think this would be a smart post?
398,20240220201400Z,"Please stop posting, you're embarrassing yourself."
399,20221006121745Z,This is the worst thing ever :( :( :(
400,20210220143203Z,Please take your negativity somewhere else.
401,20210310050547Z,Nobody asked for your opinion on christopher09.
402,20230109133728Z,Can you even spell or are you too busy trolling?
403,20210222152328Z,This makes no sense at all. Do you even logic?
404,20230113170511Z,Your argument just collapsed under its own weight.
405,20201203075105Z,You're actually making my head hurt with this.
406,20230425164405Z,"Oh no, here comes another ridiculous opinion."
407,20240207041422Z,Just when I thought it couldn't get worse...
408,20200818205657Z,This comment is what happens when you don’t think before posting.
409,20240221194012Z,You’ve achieved nothing but making everyone dumber.
410,20201007060514Z,You’ve achieved nothing but making everyone dumber.
411,20200531083747Z,Follow me on Twitter @ddavis for more updates.
412,20220928211316Z,You're a prime example of why people don't comment anymore.
413,20221212070201Z,I guess thinking before typing isn't your strong suit.
414,20221029010432Z,You just took stupidity to a whole new level.
415,20210119005427Z,Are you trying to set a new low with this post?
416,20220522004115Z,Yikes! This is painful to read.
417,20231211105929Z,I can't believe how stupid this comment is.
418,20231010072913Z,This is why no one takes you seriously.
419,20200204134517Z,It’s amazing how wrong someone can be this consistently.
420,20220603122647Z,This is so wrong it actually hurts.
421,20201009132118Z,You're like a walking disaster of bad takes.
422,20211222233814Z,This comment gave me second-hand embarrassment.
423,20210416100549Z,"My email is kelseywilliams, contact me!"
424,20240503194426Z,This is why no one takes you seriously.
425,20231114222405Z,I can’t believe anyone would take you seriously.
426,20220428171601Z,"This must be a joke, because no one could be this wrong."
427,20200305165219Z,I can't believe how stupid this comment is.
428,20200416150402Z,"I could explain it to you, but I doubt you'd understand."
429,20230109130114Z,What a load of garbage... unfollowing.
430,20200815201608Z,I genuinely feel dumber after reading that.
431,20200223112953Z,You're digging your own grave with this post.
432,20200617005009Z,You make the worst points and think you're clever.
433,20240605134159Z,"You're clearly just here to stir the pot, aren't you?"
434,20240716193325Z,@melanie86 you're so dumb!
435,20200811081324Z,"Just when I thought it couldn’t get worse, you posted this."
436,20231128194431Z,You're actually making my head hurt with this.
437,20220825101722Z,You're digging your own grave with this post.
438,20220323151300Z,You're not making any sense at all.
439,20240529174519Z,"Wow, you really have no clue, do you?"
440,20221013232142Z,alberthernandez is the best and you all should agree with me.
441,20220805010238Z,This is the dumbest thing I've read all day...
442,20240824140930Z,"Your logic is non-existent. Nice try, though!"
443,20230302122520Z,What a complete waste of time. Thanks for nothing!
444,20220815054358Z,This post is proof that trolls are getting worse.
445,20220703052647Z,You're actually making my head hurt with this.
446,20211209025101Z,"My email is adam76, contact me!"
447,20240105113215Z,I can't tell if this is satire or if you're serious.
448,20210331060211Z,I don't think I've ever seen a worse comment.
449,20220202150736Z,Is there a prize for being this wrong?
450,20220212143402Z,You just proved everyone’s point about trolls.
451,20240326041731Z,You're not helping anyone with your comments.
452,20240413140621Z,You should take a break from the internet for a while.
453,20240817032458Z,"If there was an award for worst comment, you’d win."
454,20240418184859Z,What you just posted makes absolutely no sense.
455,20221009181806Z,"Wow, this is a new level of ignorance."
456,20210105130923Z,What a load of garbage... unfollowing.
457,20211116220226Z,Why don’t you try contributing something useful for once?
458,20210306053544Z,I h@te everything ab0ut th1s!!!!!!!
459,20211211090419Z,I can’t believe anyone would take you seriously.
460,20201225135239Z,Thanks for wasting my time with this nonsense.
461,20240201074913Z,"If there was an award for worst comment, you’d win."
462,20230929002810Z,"Wow, you really have no clue, do you?"
463,20230803164752Z,Thanks for confirming you have no idea what you’re talking about.
464,20240725075400Z,"Wow, you're a keyboard warrior, aren't you?"
465,20201006200856Z,Yikes! This is painful to read.
466,20210405220618Z,Do you get joy from being consistently wrong?
467,20220130061515Z,You literally added nothing of value to this conversation.
468,20240817053834Z,Are you trying to set a new low with this post?
469,20220305181206Z,Do you get joy from being consistently wrong?
470,20200517041308Z,You just broke the internet with your stupidity.
471,20220404085452Z,LOL this is hilarious :D
472,20200907230326Z,You're like a bad joke that never ends.
473,20211025050616Z,Your comment is like a trainwreck – I can’t look away.
474,20201122235259Z,"This must be a joke, because no one could be this wrong."
475,20200616110745Z,"OMG, this is literally the best thing I've seen."
476,20220205113145Z,"Seriously, what were you thinking?!?"
477,20210720033744Z,You're actually making my head hurt with this.
478,20211005113808Z,Thanks for wasting my time with this nonsense.
479,20210417020543Z,Do you get joy from being consistently wrong?
480,20210311063711Z,You're not helping anyone with your comments.
481,20240521133834Z,You just proved everyone’s point about trolls.
482,20210909142225Z,Please take your negativity somewhere else.
483,20210729230846Z,What a load of garbage... unfollowing.
484,20200330012428Z,You should probably quit while you're behind.
485,20210330022534Z,robertevans is the best and you all should agree with me.
486,20210218130927Z,Your lack of self-awareness is truly impressive.
487,20231130213347Z,You just took stupidity to a whole new level.
488,20220315224611Z,This is so wrong it actually hurts.
489,20210212153613Z,This is a dumpster fire of bad opinions.
490,20231010064207Z,It’s like you’re trying to be the worst version of yourself.
491,20230808044242Z,I can't believe how stupid this comment is.
492,20211211192931Z,Why does anyone bother replying to you?
493,20210329024259Z,What a complete waste of time. Thanks for nothing!
494,20221214091620Z,This is the worst thing ever :( :( :(
495,20210306025310Z,"How about you educate yourself on franciscaleb, genius?"
496,20240614142008Z,You should probably fact-check before posting nonsense.
497,20221226231858Z,This comment is what happens when you don’t think before posting.
498,20240128102719Z,I guess thinking before typing isn't your strong suit.
499,20231227025616Z,I can't believe I'm wasting time on this.
500,20230305051938Z,It's amazing how wrong someone can be.
501,20220919082337Z,This post is exactly why we need better moderators.
502,20200713105217Z,It's amazing how wrong someone can be.
503,20200706173951Z,"You’ve clearly never been right about anything, ever."
504,20220216230016Z,You just broke the internet with your stupidity.
505,20230819115017Z,"If there was an award for worst comment, you’d win."
506,20200712074550Z,Just when I thought it couldn't get worse...
507,20230705183718Z,I h@te everything ab0ut th1s!!!!!!!
508,20210207154354Z,Is this your idea of a smart response?
509,20230110160555Z,LOL this is hilarious :D
510,20240522101406Z,Please take your negativity somewhere else.
511,20240829002019Z,"This comment belongs in a trash can, not online."
512,20201120105109Z,You just proved everyone’s point about trolls.
513,20230914020736Z,"Please, just stop. You're embarrassing yourself."
514,20230805181855Z,Every word you type is worse than the last.
515,20230509142922Z,You're digging your own grave with this post.
516,20230309121404Z,This is totally awesoooome!!!
517,20230802172253Z,Visit my site at tyler71 and win big!
518,20201005004305Z,Your comment is the definition of cringe.
519,20230311082447Z,Just admit you have no idea what you’re talking about.
520,20200412094858Z,You just broke the internet with your stupidity.
521,20210430064826Z,"I've seen bad comments, but this takes the cake."
522,20210317012958Z,Why don't you take a break from the internet?
523,20220614012603Z,"Seriously, what were you thinking?!?"
524,20221022042934Z,Your post is idiotic and you should feel bad.
525,20210924132223Z,"My email is tiffanyfreeman, contact me!"
526,20220417233235Z,I can’t believe anyone would take you seriously.
527,20240117140648Z,Did you even read what you wrote before posting?
